ICAO,IATA,Airport,Location,Country,,AIRPORT_ID,AIRPORT_DETAILS
MHLM,SAP,La Mesa Intl,San Pedro Sula,Honduras,,,"MHLM/SAP - La Mesa Intl, San Pedro Sula(Honduras)"
MHTG,TGU,Toncontin Intl,Tegucigalpa,Honduras,,,"MHTG/TGU - Toncontin Intl, Tegucigalpa(Honduras)"
MHTE,TEA,Tela,Tela,Honduras,,,"MHTE/TEA - Tela, Tela(Honduras)"
LHBP,BUD,Budapest Ferihegy Intl Airport,Budapest,Hungary,,,"LHBP/BUD - Budapest Ferihegy Intl Airport, Budapest(Hungary)"
LHDC,DEB,Debrecen Intl Airport,Debrecen,Hungary,,,"LHDC/DEB - Debrecen Intl Airport, Debrecen(Hungary)"
LHPR,QGY,Gyor-P,Gyor-Per,Hungary,,,"LHPR/QGY - Gyor-P, Gyor-Per(Hungary)"
LHMC,MCQ,Miskolc Airport,Miskolc,Hungary,,,"LHMC/MCQ - Miskolc Airport, Miskolc(Hungary)"
LHSM,SOB,S,Sarmellek,Hungary,,,"LHSM/SOB - S, Sarmellek(Hungary)"
BIAR,AEY,Akureyri Airport,Akureyri,Iceland,,,"BIAR/AEY - Akureyri Airport, Akureyri(Iceland)"
BIBL,BLO,Blonduos Airport,Blonduos,Iceland,,,"BIBL/BLO - Blonduos Airport, Blonduos(Iceland)"
BIEG,EGS,Egilsstaoir Airport,Egilsstaair,Iceland,,,"BIEG/EGS - Egilsstaoir Airport, Egilsstaair(Iceland)"
BIHN,HFN,Hornafjorour Airport,Hofn,Iceland,,,"BIHN/HFN - Hornafjorour Airport, Hofn(Iceland)"
BIIS,IFJ,Isafjorour Airport,Isafj,Iceland,,,"BIIS/IFJ - Isafjorour Airport, Isafj(Iceland)"
BIKF,KEF,Keflavik Intl Airport,Keflavik,Iceland,,,"BIKF/KEF - Keflavik Intl Airport, Keflavik(Iceland)"
BINF,NOR,Norofjorour Airport,Norofjorour,Iceland,,,"BINF/NOR - Norofjorour Airport, Norofjorour(Iceland)"
BIPA,PFJ,Patreksfjorour Airport,Patreksfjorour,Iceland,,,"BIPA/PFJ - Patreksfjorour Airport, Patreksfjorour(Iceland)"
BITE,TEY,Pingeyri Airport,Pingeyri,Iceland,,,"BITE/TEY - Pingeyri Airport, Pingeyri(Iceland)"
BIRG,RFN,Raufarhofn Airport,Raufarhofn,Iceland,,,"BIRG/RFN - Raufarhofn Airport, Raufarhofn(Iceland)"
BIRK,RKV,Reykjavik Airport,Reykjavik,Iceland,,,"BIRK/RKV - Reykjavik Airport, Reykjavik(Iceland)"
BITH,THO,Sauoanes Airport,Sauoanes,Iceland,,,"BITH/THO - Sauoanes Airport, Sauoanes(Iceland)"
BIKR,SAK,Alexander Airport,Sauoarkrokur,Iceland,,,"BIKR/SAK - Alexander Airport, Sauoarkrokur(Iceland)"
BISI,SIJ,Siglufjordur Airport,Siglufjorour,Iceland,,,"BISI/SIJ - Siglufjordur Airport, Siglufjorour(Iceland)"
BIST,SYK,Stykkisholmur Airport,Stykkisholmur,Iceland,,,"BIST/SYK - Stykkisholmur Airport, Stykkisholmur(Iceland)"
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,,,"BIVM/VEY - Vestmannaeyjar Airport, Vestmannaeyjar(Iceland)"
VEAT,IXA,Agartala Airport,Agartala (Tripura),India,,,"VEAT/IXA - Agartala Airport, Agartala (Tripura)(India)"
VOAT,AGX,Agatti Aerodrome,Agatti (Lakshadweep),India,,,"VOAT/AGX - Agatti Aerodrome, Agatti (Lakshadweep)(India)"
VIAG,AGR,Agra Airport (Mil./Civil),Agra (Uttar Pradesh),India,,,"VIAG/AGR - Agra Airport (Mil./Civil), Agra (Uttar Pradesh)(India)"
VAAH,AMD,Sardar Vallabhbhai Patel Intl Airport,Ahmedabad (Gujarat),India,,,"VAAH/AMD - Sardar Vallabhbhai Patel Intl Airport, Ahmedabad (Gujarat)(India)"
VELP,AJL,Lengpui Airport,Aizawl (Mizoram),India,,,"VELP/AJL - Lengpui Airport, Aizawl (Mizoram)(India)"
VAAK,AKD,Akola Airport,Akola (Maharashtra),India,,,"VAAK/AKD - Akola Airport, Akola (Maharashtra)(India)"
VIAL,IXD,Allahabad Airport (Mil./Civil),Allahabad (Uttar Pradesh),India,,,"VIAL/IXD - Allahabad Airport (Mil./Civil), Allahabad (Uttar Pradesh)(India)"
VIAR,ATQ,Sri Guru Ram Dass Jee Intl Airport,Amritsar (Punjab),India,,,"VIAR/ATQ - Sri Guru Ram Dass Jee Intl Airport, Amritsar (Punjab)(India)"
VAAU,IXU,Aurangabad Airport,Aurangabad (Maharashtra),India,,,"VAAU/IXU - Aurangabad Airport, Aurangabad (Maharashtra)(India)"
VEBD,IXB,Bagdogra Airport (Mil./Civil),Bagdogra (West Bengal),India,,,"VEBD/IXB - Bagdogra Airport (Mil./Civil), Bagdogra (West Bengal)(India)"
VEBG,RGH,Balurghat Airport,Balurghat (West Bengal),India,,,"VEBG/RGH - Balurghat Airport, Balurghat (West Bengal)(India)"
VOBG,BLR,Bengaluru Intl Airport,Bangalore (Karnataka),India,,,"VOBG/BLR - Bengaluru Intl Airport, Bangalore (Karnataka)(India)"
VABM,IXG,Belgaum Airport,Belgaum (Karnataka),India,,,"VABM/IXG - Belgaum Airport, Belgaum (Karnataka)(India)"
VABV,BHU,Bhavnagar Airport,Bhavnagar (Gurajat),India,,,"VABV/BHU - Bhavnagar Airport, Bhavnagar (Gurajat)(India)"
VABP,BHO,Raja Bhoj Airport,Bhopal (Madhya Pradesh),India,,,"VABP/BHO - Raja Bhoj Airport, Bhopal (Madhya Pradesh)(India)"
VEBS,BBI,Biju Patnaik Airport,Bhubaneswar (Orissa),India,,,"VEBS/BBI - Biju Patnaik Airport, Bhubaneswar (Orissa)(India)"
VABJ,BHJ,"Shyamji Krishna Verma, Bhuj Airport",Bhuj (Gujarat),India,,,"VABJ/BHJ - Shyamji Krishna Verma, Bhuj Airport, Bhuj (Gujarat)(India)"
VIBR,KUU,Kullu Manali Airport,Bhuntar (Himachal Pradesh),India,,,"VIBR/KUU - Kullu Manali Airport, Bhuntar (Himachal Pradesh)(India)"
VICG,IXC,Shaheed Bhagat Singh International Airport,Chandigarh,India,,,"VICG/IXC - Shaheed Bhagat Singh International Airport, Chandigarh(India)"
VOMM,MAA,Chennai Intl Airport,Chennai (Tamil Nadu),India,,,"VOMM/MAA - Chennai Intl Airport, Chennai (Tamil Nadu)(India)"
VOCB,CJB,Coimbatore Airport,Coimbatore (Tamil Nadu),India,,,"VOCB/CJB - Coimbatore Airport, Coimbatore (Tamil Nadu)(India)"
VECO,COH,Cooch Behar Airport,Cooch Behar (West Bengal),India,,,"VECO/COH - Cooch Behar Airport, Cooch Behar (West Bengal)(India)"
VAGO,GOI,Dabolim Airport (Goa Airport) (Mil./Civil),Dabolim (Goa),India,,,"VAGO/GOI - Dabolim Airport (Goa Airport) (Mil./Civil), Dabolim (Goa)(India)"
VIDN,DED,Jolly Grant Airport,Dehradun (Uttrakhand),India,,,"VIDN/DED - Jolly Grant Airport, Dehradun (Uttrakhand)(India)"
VEC1,DIB,Chabua Airport (Dibrugarh Airport),Dibrugarh (Assam),India,,,"VEC1/DIB - Chabua Airport (Dibrugarh Airport), Dibrugarh (Assam)(India)"
VEMR,DMU,Dimapur Airport (Mil./Civil),Dimapur (Nagaland),India,,,"VEMR/DMU - Dimapur Airport (Mil./Civil), Dimapur (Nagaland)(India)"
VA1P,DIU,Diu Airport,Diu (Daman and Diu),India,,,"VA1P/DIU - Diu Airport, Diu (Daman and Diu)(India)"
VEGY,GAY,Gaya Airport,Gaya (Bihar),India,,,"VEGY/GAY - Gaya Airport, Gaya (Bihar)(India)"
VEGK,GOP,Gorakhpur Airport (Mil./Civil),Gorakhpur (Uttar Pradesh),India,,,"VEGK/GOP - Gorakhpur Airport (Mil./Civil), Gorakhpur (Uttar Pradesh)(India)"
VEGT,GAU,Lokpriya Gopinath Bordoloi Intl Airport (Mil./Civil),Guwahati (Assam),India,,,"VEGT/GAU - Lokpriya Gopinath Bordoloi Intl Airport (Mil./Civil), Guwahati (Assam)(India)"
VIGR,GWL,Gwalior Airport (Mil./Civil),Gwalior (Madhya Pradesh),India,,,"VIGR/GWL - Gwalior Airport (Mil./Civil), Gwalior (Madhya Pradesh)(India)"
VA1A,HBX,Hubli Airport (Mil./Civil),Hubli (Karnataka),India,,,"VA1A/HBX - Hubli Airport (Mil./Civil), Hubli (Karnataka)(India)"
VOHY,HYD,Rajiv Gandhi Intl Airport,Hyderabad (Andhra Pradesh),India,,,"VOHY/HYD - Rajiv Gandhi Intl Airport, Hyderabad (Andhra Pradesh)(India)"
VEIM,IMF,Imphal Airport (Tulihal Airport),Imphal (Manipur),India,,,"VEIM/IMF - Imphal Airport (Tulihal Airport), Imphal (Manipur)(India)"
VAID,IDR,Devi Ahilyabai Holkar Intl Airport,Indore (Madhya Pradesh),India,,,"VAID/IDR - Devi Ahilyabai Holkar Intl Airport, Indore (Madhya Pradesh)(India)"
VAJB,JLR,Jabalpur Airport,Jabalpur (Madhya Pradesh),India,,,"VAJB/JLR - Jabalpur Airport, Jabalpur (Madhya Pradesh)(India)"
VE46,JGB,Jagdalpur Airport,Jagdalpur (Chhattisgarh),India,,,"VE46/JGB - Jagdalpur Airport, Jagdalpur (Chhattisgarh)(India)"
VIJP,JAI,Jaipur Intl Airport,Jaipur (Rajasthan),India,,,"VIJP/JAI - Jaipur Intl Airport, Jaipur (Rajasthan)(India)"
VIJR,JSA,Jaisalmer Airport (Mil./Civil),Jaisalmer (Rajasthan),India,,,"VIJR/JSA - Jaisalmer Airport (Mil./Civil), Jaisalmer (Rajasthan)(India)"
VIJU,IXJ,Jammu Airport,Jammu (Jammu & Kashmir),India,,,"VIJU/IXJ - Jammu Airport, Jammu (Jammu & Kashmir)(India)"
VAJM,JGA,Jamnagar Airport (Mil./Civil),Jamnagar (Gujarat),India,,,"VAJM/JGA - Jamnagar Airport (Mil./Civil), Jamnagar (Gujarat)(India)"
VEJS,IXW,Sonari Airport,Jamshedpur (Jharkhand),India,,,"VEJS/IXW - Sonari Airport, Jamshedpur (Jharkhand)(India)"
VIJO,JDH,Jodhpur Airport (Mil./Civil),Jodhpur (Rajasthan),India,,,"VIJO/JDH - Jodhpur Airport (Mil./Civil), Jodhpur (Rajasthan)(India)"
VEJT,JRH,Jorhat Airport (Mil./Civil),Jorhat (Assam),India,,,"VEJT/JRH - Jorhat Airport (Mil./Civil), Jorhat (Assam)(India)"
VOCP,CDP,Cuddapah Airport,Kadapa (Andhra Pradesh),India,,,"VOCP/CDP - Cuddapah Airport, Kadapa (Andhra Pradesh)(India)"
VEKR,IXH,Kailashahar Airport,Kailashahar (Tripura),India,,,"VEKR/IXH - Kailashahar Airport, Kailashahar (Tripura)(India)"
VAKE,IXY,Kandla Airport,Kandla (Gujarat),India,,,"VAKE/IXY - Kandla Airport, Kandla (Gujarat)(India)"
VIGG,DHM,Gaggal Airport (Kangra Airport),Kangra (Himachal Pradesh),India,,,"VIGG/DHM - Gaggal Airport (Kangra Airport), Kangra (Himachal Pradesh)(India)"
VIKA,KNU,Kanpur Airport,Kanpur (Uttar Pradesh),India,,,"VIKA/KNU - Kanpur Airport, Kanpur (Uttar Pradesh)(India)"
VAKS,IXK,Keshod Junagadh Airport,Keshod (Gujarat),India,,,"VAKS/IXK - Keshod Junagadh Airport, Keshod (Gujarat)(India)"
VAKJ,HJR,Khajuraho Airport,Khajuraho (Madhya Pradesh),India,,,"VAKJ/HJR - Khajuraho Airport, Khajuraho (Madhya Pradesh)(India)"
VOCI,COK,Cochin International Airport,Kochi (Kerala),India,,,"VOCI/COK - Cochin International Airport, Kochi (Kerala)(India)"
VAKP,KLH,Kolhapur Airport,Kolhapur (Maharashtra),India,,,"VAKP/KLH - Kolhapur Airport, Kolhapur (Maharashtra)(India)"
VECC,CCU,Netaji Subhas Chandra Bose Intl Airport,Kolkata (West Bengal),India,,,"VECC/CCU - Netaji Subhas Chandra Bose Intl Airport, Kolkata (West Bengal)(India)"
VIKO,KTU,Kota Airport,Kota (Rajasthan),India,,,"VIKO/KTU - Kota Airport, Kota (Rajasthan)(India)"
VOCL,CCJ,Calicut Intl Airport,Kozhikode (Kerala),India,,,"VOCL/CCJ - Calicut Intl Airport, Kozhikode (Kerala)(India)"
VILH,IXL,Kushok Bakula Rimpochee Airport,Leh (Jammu & Kashmir),India,,,"VILH/IXL - Kushok Bakula Rimpochee Airport, Leh (Jammu & Kashmir)(India)"
VILK,LKO,Chaudhary Charan Singh International Airport,Lucknow (Uttar Pradesh),India,,,"VILK/LKO - Chaudhary Charan Singh International Airport, Lucknow (Uttar Pradesh)(India)"
VILD,LUH,Sahnewal Airport,Ludhiana (Punjab),India,,,"VILD/LUH - Sahnewal Airport, Ludhiana (Punjab)(India)"
VOMD,IXM,Madurai Airport,Madurai (Tamil Nadu),India,,,"VOMD/IXM - Madurai Airport, Madurai (Tamil Nadu)(India)"
VEMH,LDA,Malda Airport,Malda - English Bazar (West Bengal),India,,,"VEMH/LDA - Malda Airport, Malda - English Bazar (West Bengal)(India)"
VOML,IXE,Mangalore Airport,Mangalore (Karnataka),India,,,"VOML/IXE - Mangalore Airport, Mangalore (Karnataka)(India)"
VABB,BOM,Chhatrapati Shivaji Intl Airport,Mumbai (Maharashtra),India,,,"VABB/BOM - Chhatrapati Shivaji Intl Airport, Mumbai (Maharashtra)(India)"
VEMZ,MZU,Muzzafarpur Airport,Muzzafarpur (Bihar),India,,,"VEMZ/MZU - Muzzafarpur Airport, Muzzafarpur (Bihar)(India)"
VOMY,MYQ,Mysore Airport,Mysore (Karnataka),India,,,"VOMY/MYQ - Mysore Airport, Mysore (Karnataka)(India)"
VANP,NAG,Dr. Babasaheb Ambedkar Intl Airport (Mil./Civil),Nagpur (Maharashtra),India,,,"VANP/NAG - Dr. Babasaheb Ambedkar Intl Airport (Mil./Civil), Nagpur (Maharashtra)(India)"
VAND,NDC,Shri Guru Gobind Singh Ji Airport,Nanded (Maharashtra),India,,,"VAND/NDC - Shri Guru Gobind Singh Ji Airport, Nanded (Maharashtra)(India)"
VIDP,DEL,Indira Gandhi Intl Airport,New Delhi (Delhi),India,,,"VIDP/DEL - Indira Gandhi Intl Airport, New Delhi (Delhi)(India)"
VELR,IXI,Lilabari Airport,North Lakhimpur (Assam),India,,,"VELR/IXI - Lilabari Airport, North Lakhimpur (Assam)(India)"
VIPT,PGH,Pantnagar Airport,Pantnagar (Uttrakhand),India,,,"VIPT/PGH - Pantnagar Airport, Pantnagar (Uttrakhand)(India)"
VEPG,IXT,Pasighat Airport,Pasighat (Passighat),India,,,"VEPG/IXT - Pasighat Airport, Pasighat (Passighat)(India)"
VEPT,PAT,Jai Prakash Narayan International Airport,Patna (Bihar),India,,,"VEPT/PAT - Jai Prakash Narayan International Airport, Patna (Bihar)(India)"
VOPC,PNY,Pondicherry Airport,Pondicherry,India,,,"VOPC/PNY - Pondicherry Airport, Pondicherry(India)"
VAPR,PBD,Porbandar Airport,Porbandar (Gurajat),India,,,"VAPR/PBD - Porbandar Airport, Porbandar (Gurajat)(India)"
VOPB,IXZ,Port Blair Airport,Port Blair (Andaman and Nicobar Islands),India,,,"VOPB/IXZ - Port Blair Airport, Port Blair (Andaman and Nicobar Islands)(India)"
VAPO,PNQ,Pune Airport (Mil./Civil),Pune (Maharashtra),India,,,"VAPO/PNQ - Pune Airport (Mil./Civil), Pune (Maharashtra)(India)"
VEPU,PUI,Purnea Airport,Purnia (Bihar),India,,,"VEPU/PUI - Purnea Airport, Purnia (Bihar)(India)"
VOPN,BEK,Sri Sathya Sai Airport,Puttaparthi (Andhra Pradesh),India,,,"VOPN/BEK - Sri Sathya Sai Airport, Puttaparthi (Andhra Pradesh)(India)"
VARP,RPR,Swami Vivekananda Airport,Raipur (Chhattisgarh),India,,,"VARP/RPR - Swami Vivekananda Airport, Raipur (Chhattisgarh)(India)"
VORY,RJA,Rajahmundry Airport,Rajahmundry (Andhra Pradesh),India,,,"VORY/RJA - Rajahmundry Airport, Rajahmundry (Andhra Pradesh)(India)"
VARK,RAJ,Rajkot Airport,Rajkot (Gujarat),India,,,"VARK/RAJ - Rajkot Airport, Rajkot (Gujarat)(India)"
VERC,IXR,Birsa Munda Airport,Ranchi (Jharkhand),India,,,"VERC/IXR - Birsa Munda Airport, Ranchi (Jharkhand)(India)"
VERK,RRK,Rourkela Airport,Rourkela (Orissa),India,,,"VERK/RRK - Rourkela Airport, Rourkela (Orissa)(India)"
VERU,RUP,Rupsi Airport,Rupsi (Assam),India,,,"VERU/RUP - Rupsi Airport, Rupsi (Assam)(India)"
VOSM,SXV,Salem Airport,Salem (Tamil Nadu),India,,,"VOSM/SXV - Salem Airport, Salem (Tamil Nadu)(India)"
VEBI,SHL,Shillong Airport,Shillong (Meghalaya),India,,,"VEBI/SHL - Shillong Airport, Shillong (Meghalaya)(India)"
VISM,SLV,Shimla Airport,Shimla (Himachal Pradesh),India,,,"VISM/SLV - Shimla Airport, Shimla (Himachal Pradesh)(India)"
VEKU,IXS,Silchar Airport (Mil./Civil),Silchar (Assam),India,,,"VEKU/IXS - Silchar Airport (Mil./Civil), Silchar (Assam)(India)"
VASL,SSE,Sholapur Airport,Solapur (Maharashtra),India,,,"VASL/SSE - Sholapur Airport, Solapur (Maharashtra)(India)"
VISR,SXR,Srinagar Airport (Mil./Civil),Srinagar (Jammu & Kashmir),India,,,"VISR/SXR - Srinagar Airport (Mil./Civil), Srinagar (Jammu & Kashmir)(India)"
VASU,STV,Surat Airport,Surat (Gurajat),India,,,"VASU/STV - Surat Airport, Surat (Gurajat)(India)"
VETZ,TEZ,Tezpur Airport (Mil./Civil),Tezpur (Assam),India,,,"VETZ/TEZ - Tezpur Airport (Mil./Civil), Tezpur (Assam)(India)"
VETJ,TEI,Tezu Airport,Tezu (Arunachal Pradesh),India,,,"VETJ/TEI - Tezu Airport, Tezu (Arunachal Pradesh)(India)"
VOTV,TRV,Trivandrum Intl Airport,Thiruvananthapuram (Kerala),India,,,"VOTV/TRV - Trivandrum Intl Airport, Thiruvananthapuram (Kerala)(India)"
VO80,TCR,Tuticorin Airport,Thoothukudi (Tamil Nadu),India,,,"VO80/TCR - Tuticorin Airport, Thoothukudi (Tamil Nadu)(India)"
VOTR,TRZ,Tiruchirapalli (Trichy) Intl Airport,Tiruchirapalli (Tamil Nadu),India,,,"VOTR/TRZ - Tiruchirapalli (Trichy) Intl Airport, Tiruchirapalli (Tamil Nadu)(India)"
VOTP,TIR,Tirupati Airport,Tirupati (Andhra Pradesh),India,,,"VOTP/TIR - Tirupati Airport, Tirupati (Andhra Pradesh)(India)"
VAUD,UDR,Udaipur Airport,Udaipur (Rajasthan),India,,,"VAUD/UDR - Udaipur Airport, Udaipur (Rajasthan)(India)"
VABO,BDQ,Vadodara Airport / Civil Airport Harni (Mil./Civil),Vadodara (Gujarat),India,,,"VABO/BDQ - Vadodara Airport / Civil Airport Harni (Mil./Civil), Vadodara (Gujarat)(India)"
VIBN,VNS,Lal Bahadur Shastri Intl Airport,Varanasi (Uttar Pradesh),India,,,"VIBN/VNS - Lal Bahadur Shastri Intl Airport, Varanasi (Uttar Pradesh)(India)"
VOBZ,VGA,Vijayawada Airport,Vijayawada (Andhra Pradesh),India,,,"VOBZ/VGA - Vijayawada Airport, Vijayawada (Andhra Pradesh)(India)"
VEVZ,VTZ,Visakhapatnam Airport,Visakhapatnam (Andhra Pradesh),India,,,"VEVZ/VTZ - Visakhapatnam Airport, Visakhapatnam (Andhra Pradesh)(India)"
VEZO,ZER,Zero Airport,Zero (Arunachal Pradesh),India,,,"VEZO/ZER - Zero Airport, Zero (Arunachal Pradesh)(India)"
WAPP,AMQ,Pattimura Airport,"Ambon, Maluku",Indonesia,,,"WAPP/AMQ - Pattimura Airport, Ambon, Maluku(Indonesia)"
WALL,BPN,Sepinggan Intl Airport,"Balikpapan, East Kalimantan",Indonesia,,,"WALL/BPN - Sepinggan Intl Airport, Balikpapan, East Kalimantan(Indonesia)"
WITT,BTJ,Sultan Iskandarmuda Airport,"Banda Aceh, Aceh",Indonesia,,,"WITT/BTJ - Sultan Iskandarmuda Airport, Banda Aceh, Aceh(Indonesia)"
WIIT,TKG,Radin Inten II Airport,"Bandar Lampung, Lampung",Indonesia,,,"WIIT/TKG - Radin Inten II Airport, Bandar Lampung, Lampung(Indonesia)"
WIIB,BDO,Husein Sastranegara Airport,"Bandung, West Java",Indonesia,,,"WIIB/BDO - Husein Sastranegara Airport, Bandung, West Java(Indonesia)"
WRBB,BDJ,Syamsudin Noor Airport,"Banjarmasin, South Kalimantan",Indonesia,,,"WRBB/BDJ - Syamsudin Noor Airport, Banjarmasin, South Kalimantan(Indonesia)"
WIKB,BTH,Hang Nadim Airport,"Batam, Riau Islands",Indonesia,,,"WIKB/BTH - Hang Nadim Airport, Batam, Riau Islands(Indonesia)"
WABB,BIK,Frans Kaisiepo Airport,"Biak, Papua",Indonesia,,,"WABB/BIK - Frans Kaisiepo Airport, Biak, Papua(Indonesia)"
WIII,CGK,Soekarno-Hatta Intl Airport,"Cengkareng, Banten / Jakarta",Indonesia,,,"WIII/CGK - Soekarno-Hatta Intl Airport, Cengkareng, Banten / Jakarta(Indonesia)"
WADD,DPS,Bali Intl Airport,"Denpasar, Bali",Indonesia,,,"WADD/DPS - Bali Intl Airport, Denpasar, Bali(Indonesia)"
WIIH,HLP,Halim Perdanakusuma Intl Airport,Jakarta,Indonesia,,,"WIIH/HLP - Halim Perdanakusuma Intl Airport, Jakarta(Indonesia)"
WAJJ,DJJ,Sentani Airport,"Jayapura, Papua",Indonesia,,,"WAJJ/DJJ - Sentani Airport, Jayapura, Papua(Indonesia)"
WAAU,KDI,Wolter Monginsidi Airport,"Kendari, South East Sulawesi",Indonesia,,,"WAAU/KDI - Wolter Monginsidi Airport, Kendari, South East Sulawesi(Indonesia)"
WIPT,PDG,Minangkabau Intl Airport,"Ketaping / Padang, West Sumatra",Indonesia,,,"WIPT/PDG - Minangkabau Intl Airport, Ketaping / Padang, West Sumatra(Indonesia)"
WRKK,KOE,El Tari Airport,"Kupang, East Nusa Tenggara",Indonesia,,,"WRKK/KOE - El Tari Airport, Kupang, East Nusa Tenggara(Indonesia)"
WAAA,UPG,Hasanuddin Airport,"Makassar, South Sulawesi",Indonesia,,,"WAAA/UPG - Hasanuddin Airport, Makassar, South Sulawesi(Indonesia)"
WAMM,MDC,Sam Ratulangi Airport,"Manado, North Sulawesi",Indonesia,,,"WAMM/MDC - Sam Ratulangi Airport, Manado, North Sulawesi(Indonesia)"
WRRA,AMI,Selaparang Airport,"Mataram, West Nusa Tenggara",Indonesia,,,"WRRA/AMI - Selaparang Airport, Mataram, West Nusa Tenggara(Indonesia)"
WIMM,MES,Polonia Intl Airport,"Medan, North Sumatra",Indonesia,,,"WIMM/MES - Polonia Intl Airport, Medan, North Sumatra(Indonesia)"
WRBP,PKY,Tjilik Riwut Airport,"Palangkaraya, Central Kalimantan",Indonesia,,,"WRBP/PKY - Tjilik Riwut Airport, Palangkaraya, Central Kalimantan(Indonesia)"
WIPP,PLM,Sultan Mahmud Badaruddin II Airport,"Palembang, South Sumatra",Indonesia,,,"WIPP/PLM - Sultan Mahmud Badaruddin II Airport, Palembang, South Sumatra(Indonesia)"
WAML,PLW,Mutiara Airport,"Palu, Central Sulawesi",Indonesia,,,"WAML/PLW - Mutiara Airport, Palu, Central Sulawesi(Indonesia)"
WIBB,PKU,Sultan Syarif Kasim II Airport,"Pekanbaru, Riau",Indonesia,,,"WIBB/PKU - Sultan Syarif Kasim II Airport, Pekanbaru, Riau(Indonesia)"
WIOO,PNK,Supadio Airport,"Pontianak, West Kalimantan",Indonesia,,,"WIOO/PNK - Supadio Airport, Pontianak, West Kalimantan(Indonesia)"
WRLS,SRI,Temindung Airport,"Samarinda, East Kalimantan",Indonesia,,,"WRLS/SRI - Temindung Airport, Samarinda, East Kalimantan(Indonesia)"
WIIS,SRG,Achmad Yani Airport,"Semarang, Central Java",Indonesia,,,"WIIS/SRG - Achmad Yani Airport, Semarang, Central Java(Indonesia)"
WRSJ,SUB,Juanda Airport,"Surabaya, East Java",Indonesia,,,"WRSJ/SUB - Juanda Airport, Surabaya, East Java(Indonesia)"
WRSQ,SOC,Adisumarmo Intl Airport,"Surakarta (Solo), Central Java",Indonesia,,,"WRSQ/SOC - Adisumarmo Intl Airport, Surakarta (Solo), Central Java(Indonesia)"
WIKN,TNJ,Kijang Airport,"Tanjung Pinang, Riau Islands",Indonesia,,,"WIKN/TNJ - Kijang Airport, Tanjung Pinang, Riau Islands(Indonesia)"
WRLR,TRK,Juwata Airport,"Tarakan, East Kalimantan",Indonesia,,,"WRLR/TRK - Juwata Airport, Tarakan, East Kalimantan(Indonesia)"
WIIJ,JOG,Adisucipto Intl Airport,Yogyakarta,Indonesia,,,"WIIJ/JOG - Adisucipto Intl Airport, Yogyakarta(Indonesia)"
OIAA,ABD,Abadan Airport,Abadan,Iran,,,"OIAA/ABD - Abadan Airport, Abadan(Iran)"
OIAW,AWZ,Ahwaz Airport,Ahwaz,Iran,,,"OIAW/AWZ - Ahwaz Airport, Ahwaz(Iran)"
OITL,ADU,Ardabil Airport,Ardabil,Iran,,,"OITL/ADU - Ardabil Airport, Ardabil(Iran)"
OIBI,YEH,Asalouyeh Airport,Asalouyeh,Iran,,,"OIBI/YEH - Asalouyeh Airport, Asalouyeh(Iran)"
OIKM,BXR,Bam Airport,Bam,Iran,,,"OIKM/BXR - Bam Airport, Bam(Iran)"
OIKB,BND,Bandar Abbass Intl Airport,Bandar Abbass,Iran,,,"OIKB/BND - Bandar Abbass Intl Airport, Bandar Abbass(Iran)"
OIBL,BDH,Bandar Lengeh Airport,Bandar Lengeh,Iran,,,"OIBL/BDH - Bandar Lengeh Airport, Bandar Lengeh(Iran)"
OIMB,XBJ,Birjand Airport,Birjand,Iran,,,"OIMB/XBJ - Birjand Airport, Birjand(Iran)"
OIMN,BJB,Bojnord Airport,Bojnord,Iran,,,"OIMN/BJB - Bojnord Airport, Bojnord(Iran)"
OIBB,BUZ,Bushehr Airport,Bushehr,Iran,,,"OIBB/BUZ - Bushehr Airport, Bushehr(Iran)"
OIZC,ZBR,Konarak Airport,Chah Bahar,Iran,,,"OIZC/ZBR - Konarak Airport, Chah Bahar(Iran)"
OIFM,IFN,Isfahan Intl Airport,Esfahan,Iran,,,"OIFM/IFN - Isfahan Intl Airport, Esfahan(Iran)"
OIHH,HDM,Hamadan Airport,Hamadan,Iran,,,"OIHH/HDM - Hamadan Airport, Hamadan(Iran)"
OIKK,KER,Kerman Airport,Kerman,Iran,,,"OIKK/KER - Kerman Airport, Kerman(Iran)"
OICC,KSH,Shahid Ashrafi Esfahani Airport,Kermanshah,Iran,,,"OICC/KSH - Shahid Ashrafi Esfahani Airport, Kermanshah(Iran)"
OIBQ,KHK,Khark Airport,Khark Island,Iran,,,"OIBQ/KHK - Khark Airport, Khark Island(Iran)"
OICK,KHD,Khoram Abad Airport,Khoram Abad,Iran,,,"OICK/KHD - Khoram Abad Airport, Khoram Abad(Iran)"
OIBK,KIH,Kish Airport,Kish Island,Iran,,,"OIBK/KIH - Kish Airport, Kish Island(Iran)"
OIBV,LVP,Lavan Airport,Lavan Island,Iran,,,"OIBV/LVP - Lavan Airport, Lavan Island(Iran)"
OIAM,MRX,Mahshahr Airport,Mahshahr,Iran,,,"OIAM/MRX - Mahshahr Airport, Mahshahr(Iran)"
OIMM,MHD,Mashhad Intl Airport,Mashhad,Iran,,,"OIMM/MHD - Mashhad Intl Airport, Mashhad(Iran)"
