ICAO,IATA,Airport,Location,Country,,AIRPORT_ID,AIRPORT_DETAILS
YCOR,CWW,Corowa Airport,Corowa,Australia,,,"YCOR/CWW - Corowa Airport, Corowa(Australia)"
YCRG,CYG,Corryong Airport,Corryong,Australia,,,"YCRG/CYG - Corryong Airport, Corryong(Australia)"
YCWR,CWT,Cowra Airport,Cowra,Australia,,,"YCWR/CWT - Cowra Airport, Cowra(Australia)"
YCKI,CKI,Croker Island Airport,Croker Island,Australia,,,"YCKI/CKI - Croker Island Airport, Croker Island(Australia)"
YCUE,CUY,Cue Airport,Cue,Australia,,,"YCUE/CUY - Cue Airport, Cue(Australia)"
YPDN,DRW,Darwin Intl Airport,Darwin,Australia,,,"YPDN/DRW - Darwin Intl Airport, Darwin(Australia)"
YDLQ,DNO,Deniliquin Airport,Deniliquin,Australia,,,"YDLQ/DNO - Deniliquin Airport, Deniliquin(Australia)"
YDBY,DRB,Derby Airport,Derby,Australia,,,"YDBY/DRB - Derby Airport, Derby(Australia)"
YDPO,DPO,Devonport Airport,Devonport,Australia,,,"YDPO/DPO - Devonport Airport, Devonport(Australia)"
YDBI,DRN,Dirranbandi Airport,Dirranbandi,Australia,,,"YDBI/DRN - Dirranbandi Airport, Dirranbandi(Australia)"
YSDU,DBO,Dubbo Airport,Dubbo,Australia,,,"YSDU/DBO - Dubbo Airport, Dubbo(Australia)"
YDYS,DYA,Dysart Airport,Dysart,Australia,,,"YDYS/DYA - Dysart Airport, Dysart(Australia)"
YECH,ECH,Echuca Airport,Echuca,Australia,,,"YECH/ECH - Echuca Airport, Echuca(Australia)"
YELD,ELC,Elcho Island Airport,Elcho Island,Australia,,,"YELD/ELC - Elcho Island Airport, Elcho Island(Australia)"
YEML,EMD,Emerald Airport,Emerald,Australia,,,"YEML/EMD - Emerald Airport, Emerald(Australia)"
YESP,EPR,Esperance Airport,Esperance,Australia,,,"YESP/EPR - Esperance Airport, Esperance(Australia)"
YMEN,MEB,Essendon Airport,Essendon North,Australia,,,"YMEN/MEB - Essendon Airport, Essendon North(Australia)"
YPLM,LEA,Learmonth Airport,Exmouth,Australia,,,"YPLM/LEA - Learmonth Airport, Exmouth(Australia)"
YFTZ,FIZ,Fitzroy Crossing Airport,Fitzroy Crossing,Australia,,,"YFTZ/FIZ - Fitzroy Crossing Airport, Fitzroy Crossing(Australia)"
YFLI,FLS,Flinders Island Airport,Flinders Island,Australia,,,"YFLI/FLS - Flinders Island Airport, Flinders Island(Australia)"
YFBS,FRB,Forbes Airport,Forbes,Australia,,,"YFBS/FRB - Forbes Airport, Forbes(Australia)"
YFRT,FOS,Forrest Airport,Forrest,Australia,,,"YFRT/FOS - Forrest Airport, Forrest(Australia)"
YGEL,GET,Geraldton Airport,Geraldton,Australia,,,"YGEL/GET - Geraldton Airport, Geraldton(Australia)"
YGLA,GLT,Gladstone Airport,Gladstone,Australia,,,"YGLA/GLT - Gladstone Airport, Gladstone(Australia)"
YGLI,GLI,Glen Innes Airport,Glen Innes,Australia,,,"YGLI/GLI - Glen Innes Airport, Glen Innes(Australia)"
YGLB,GUL,Goulburn Airport,Goulburn,Australia,,,"YGLB/GUL - Goulburn Airport, Goulburn(Australia)"
YGFN,GFN,Grafton Airport,Grafton,Australia,,,"YGFN/GFN - Grafton Airport, Grafton(Australia)"
YGTH,GFF,Griffith Airport,Griffith,Australia,,,"YGTH/GFF - Griffith Airport, Griffith(Australia)"
YGTE,GTE,Groote Eylandt Airport,Groote Eylandt,Australia,,,"YGTE/GTE - Groote Eylandt Airport, Groote Eylandt(Australia)"
YGDH,GUH,Gunnedah Airport,Gunnedah,Australia,,,"YGDH/GUH - Gunnedah Airport, Gunnedah(Australia)"
YHLC,HCQ,Halls Creek Airport,Halls Creek,Australia,,,"YHLC/HCQ - Halls Creek Airport, Halls Creek(Australia)"
YHML,HLT,Hamilton Airport,Hamilton,Australia,,,"YHML/HLT - Hamilton Airport, Hamilton(Australia)"
YBHM,HTI,Hamilton Island Airport,Hamilton Island,Australia,,,"YBHM/HTI - Hamilton Island Airport, Hamilton Island(Australia)"
YHAY,HXX,Hay Airport,Hay,Australia,,,"YHAY/HXX - Hay Airport, Hay(Australia)"
YHBA,HVB,Hervey Bay Airport,Hervey Bay,Australia,,,"YHBA/HVB - Hervey Bay Airport, Hervey Bay(Australia)"
YHPN,HTU,Hopetoun Airport,Hopetoun,Australia,,,"YHPN/HTU - Hopetoun Airport, Hopetoun(Australia)"
YHID,HID,Horn Island Airport,Horn Island,Australia,,,"YHID/HID - Horn Island Airport, Horn Island(Australia)"
YHSM,HSM,Horsham Airport,Horsham,Australia,,,"YHSM/HSM - Horsham Airport, Horsham(Australia)"
YIVL,IVR,Inverell Airport,Inverell,Australia,,,"YIVL/IVR - Inverell Airport, Inverell(Australia)"
YPJT,JAD,Jandakot Airport,Jandakot,Australia,,,"YPJT/JAD - Jandakot Airport, Jandakot(Australia)"
YPKG,KGI,Kalgoorlie-Boulder Airport,Kalgoorlie,Australia,,,"YPKG/KGI - Kalgoorlie-Boulder Airport, Kalgoorlie(Australia)"
YPKA,KTA,Karratha Airport,Karratha,Australia,,,"YPKA/KTA - Karratha Airport, Karratha(Australia)"
YKMB,KRB,Karumba Airport,Karumba,Australia,,,"YKMB/KRB - Karumba Airport, Karumba(Australia)"
YKMP,KPS,Kempsey Airport,Kempsey,Australia,,,"YKMP/KPS - Kempsey Airport, Kempsey(Australia)"
YKER,KRA,Kerang Airport,Kerang,Australia,,,"YKER/KRA - Kerang Airport, Kerang(Australia)"
YKII,KNS,King Island Airport,King Island (Currie),Australia,,,"YKII/KNS - King Island Airport, King Island (Currie)(Australia)"
YKRY,KGY,Kingaroy Airport,Kingaroy,Australia,,,"YKRY/KGY - Kingaroy Airport, Kingaroy(Australia)"
YKSC,KGC,Kingscote Airport,"Kingscote, Kangaroo Island",Australia,,,"YKSC/KGC - Kingscote Airport, Kingscote, Kangaroo Island(Australia)"
YKOW,KWM,Kowanyama Airport,Kowanyama,Australia,,,"YKOW/KWM - Kowanyama Airport, Kowanyama(Australia)"
YPKU,KNX,Kununurra Airport,Kununurra,Australia,,,"YPKU/KNX - Kununurra Airport, Kununurra(Australia)"
YMLT,LST,Launceston Airport,Launceston,Australia,,,"YMLT/LST - Launceston Airport, Launceston(Australia)"
YLEC,LGH,Leigh Creek Airport,Leigh Creek,Australia,,,"YLEC/LGH - Leigh Creek Airport, Leigh Creek(Australia)"
YLST,LER,Leinster Airport,Leinster,Australia,,,"YLST/LER - Leinster Airport, Leinster(Australia)"
YLEO,LNO,Leonora Airport,Leonora,Australia,,,"YLEO/LNO - Leonora Airport, Leonora(Australia)"
YLRD,LHG,Lightning Ridge Airport,Lightning Ridge,Australia,,,"YLRD/LHG - Lightning Ridge Airport, Lightning Ridge(Australia)"
YLIS,LSY,Lismore Airport,Lismore,Australia,,,"YLIS/LSY - Lismore Airport, Lismore(Australia)"
YLHR,IRG,Lockhart River Airport,Lockhart River,Australia,,,"YLHR/IRG - Lockhart River Airport, Lockhart River(Australia)"
